Name,Designer,URL,Gender,Accords,Description,Pros and cons,Top Notes,Middle Notes,Base Notes,Longevity,Sillage
Angelic Elixir,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Angelic-Elixir-65897.html,women and men,warm spicy (100%); woody (91.3583%); cinnamon (85.309%); vanilla (74.4199%); sweet (73.9877%); powdery (47.9754%),"Angelic Elixir by The Dua Brand is a Aromatic Spicy fragrance for women and men. Angelic Elixir was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Cinnamon', 'Brandy', 'Vanilla', 'Praline', 'Tonka Bean', 'Oak', 'Sandalwood']",[],[],,
Couture Crumbled,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Couture-Crumbled-93882.html,women and men,sweet (100%); vanilla (77.8482%); woody (71.6456%); savory (69.8734%); powdery (60.5695%); warm spicy (49.4938%); balsamic (45.0632%),"Couture Crumbled by The Dua Brand is a fragrance for women and men. This is a new fragrance. Couture Crumbled was launched in 2024.Couture Crumbled is inspired by the delectable aroma of Crumb Couture by Snif. The fragrance opens with the rich and buttery scent of croissant, evoking the warmth and flakiness of freshly baked pastry. The heart features a blend of wild berry jam and black currant, adding a sweet and tangy burst of fruity goodness. The creamy richness of toasted vanilla and the nutty tones of tonka bean emerge as the scent develops, with sandalwood providing a grounding, woody finish.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Croissant', 'Sandalwood', 'Vanilla', 'Tonka Bean', 'Wild Berries', 'Black Currant']",[],[],,
Chilling By The Pacific,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Chilling-By-The-Pacific-85913.html,women and men,citrus (100%); aromatic (83.5618%); green (59.2558%); soft spicy (50.686%); fresh spicy (49.5779%); fruity (46.2534%),"Chilling By The Pacific by The Dua Brand is a Citrus fragrance for women and men. Chilling By The Pacific was launched in 2023.Chilling By The Pacific by The Dua Brand is an exquisite fragrance that captures the essence of the Pacific Ocean. With its refreshing and invigorating notes, this unisex scent is perfect for the summer season. The fragrance comes in an Extrait de Parfum concentration, ensuring a long-lasting and intense aroma. The scent of Chilling By The Pacific is a harmonious blend of citrus fruits, including lemon, orange, and citron, which create a vibrant and energizing opening. A cooling zephyr of mint dances on the coastal breeze, adding a refreshing touch to the composition. Coriander and black currant intertwine to create a twilight serenade-like accord, while apricot and basil provide a perfect balance of sweetness and vegetal appeal. Carrot seeds whisper secrets of the watery world, resembling fantastical mermaids. Notes of dates, figs, and roses bloom in harmony, spreading their aromatic petals like sea vegetation. Ambrette, an oceanic temptation, lingers on the skin, reminiscent of memories touched by the sea. fitting for Chilling By The Pacific is 'Aromatic Fruity'.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Citron', 'Coriander', 'Mint', 'Apricot', 'Orange', 'Lemon', 'Black Currant', 'Carrot Seeds', 'Ambrette', 'Basil', 'Dates', 'Fig', 'May Rose']",[],[],,
Oh Baby!,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Oh-Baby-86430.html,women and men,fruity (100%); sweet (79.4666%); woody (69.6668%); lactonic (67.8001%); caramel (53.3333%); powdery (53.3333%),"Oh Baby! by The Dua Brand is a Floral Fruity Gourmand fragrance for women and men. Oh Baby! was launched in 2023.Oh Baby! by The Dua Brand is a unisex fragrance that belongs to the Oriental Vanilla olfactory group. This fragrance is presented in a 34ml (1.1 fl.oz) bottle and has a concentration of Extrait de Parfum. Inspired by Cry Baby Perfume Milk, Oh Baby! offers a more accessible option for those who appreciate the decadent sweetness of amber vanilla. While the original perfume gained attention for its unique baby milk bottle presentation and high price point, Oh Baby! allows individuals to experience the same gourmand sensation without breaking the bank. The notes of Oh Baby! include milk, strawberry, forest fruits, powdery notes, caramel, and woody notes. When combined, these ingredients create a captivating scent that evokes nostalgia and indulgence. The fragrance opens with an irresistible strawberry aroma that is further enhanced by the sweet and creamy caramel notes. As it develops, powdery and lactonic notes emerge, reminiscent of a freshly served glass of strawberry milk. Overall, Oh Baby! by The Dua Brand offers a delightful and memorable olfactory experience that captivates with its combination of fruity and gourmand elements.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Strawberry', 'Milk', 'Woody Notes', 'Powdery Notes', 'Forest Fruits', 'Caramel']",[],[],,
Pistachio Cream Delight,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Pistachio-Cream-Delight-88383.html,women and men,vanilla (100%); lactonic (74.9999%); powdery (67.9167%); woody (67.4998%); amber (63.3332%); musky (63.3332%); nutty (60.0001%); sweet (56.6665%); green (52.4999%),"Pistachio Cream Delight by The Dua Brand is a fragrance for women and men. This is a new fragrance. Pistachio Cream Delight was launched in 2023.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Pistachio', 'Vanilla', 'Milk', 'Musk', 'Amber', 'Tonka Bean']",[],[],,
Cotton Candy de Dua,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Cotton-Candy-de-Dua-65907.html,women and men,sweet (100%); musky (79.6267%); vanilla (79.6267%); powdery (76.4925%); caramel (64.4777%),"Cotton Candy de Dua by The Dua Brand is a Oriental Vanilla fragrance for women and men. Cotton Candy de Dua was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Vanilla', 'White Musk', 'Cotton Candy', 'Spun Sugar']",[],[],,
Dark Chocolate,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Dark-Chocolate-Rum-and-Vanilla-67648.html,women and men,warm spicy (100%); cacao (82.82%); sweet (64.9087%); chocolate (63.6292%); vanilla (61.0705%); rum (60.7052%),"Dark Chocolate, Rum, and Vanilla by The Dua Brand is a Aromatic fragrance for women and men. Dark Chocolate, Rum, and Vanilla was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Dark Chocolate', 'Cacao', 'Rum', 'Vanilla', 'Spices', 'Rose', 'Pepper']",[],[],,
Pistachio Gelato,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Pistachio-Gelato-80882.html,women and men,musky (100%); sweet (85.4617%); powdery (73.077%); lactonic (56.923%); vanilla (56.923%); woody (56.923%); nutty (51.5383%); green (46.154%),"Pistachio Gelato by The Dua Brand is a Floral Woody Musk fragrance for women and men. This is a new fragrance. Pistachio Gelato was launched in 2022.This fragrance is a Dua Original Blend called Pistachio Gelato, available in a 30 mL (1 FL.OZ) Extrait de Parfum concentration. This unisex fragrance is classified as Gourmand, and its notes include Pistachio Cream, Vanilla Cream, Gelato Accord, Pistachio Powder, Pistachio Custard, and White Musk.Pistachio Gelato is a unique fragrance that combines the nutty aroma of pistachio with the sweetness of vanilla and gelato accord. The fragrance opens with a burst of creamy pistachio cream and vanilla cream that creates a warm and inviting ambiance. The heart of the fragrance features a gelato accord that adds depth and complexity to the composition. The base notes of pistachio powder, pistachio custard, and white musk create a smooth and creamy finish that lasts for hours. Overall, this fragrance has a delicious gourmand scent that is perfect for those who want to smell irresistible. .Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['White Musk', 'Pistachio', 'Custard', 'Vanilla']",[],[],,
A Gourmand Escape,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/A-Gourmand-Escape-96305.html,women and men,vanilla (100%); musky (73.2991%); sweet (70.4125%); amber (66.0826%); powdery (60.3092%); warm spicy (45.8764%),"A Gourmand Escape by The Dua Brand is a Oriental Vanilla fragrance for women and men. This is a new fragrance. A Gourmand Escape was launched in 2024.A Gourmand Escape transports you to a paradise for gourmands where sugarcane fields dance to the sound of a caramel-hued symphony. Tonka Bean and Benzoin create a comforting tapestry, while Vanilla pods wrap you in a warm, sugary hug. The air is rife with promises as Musk lingers in the background. This fragrance is a treat for the senses and a stage for the realization of sweet fantasies.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Tonka Bean', 'Musk', 'Vanilla', 'Benzoin', 'Sugar Cane']",[],[],,
Marshmallow Dream,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Marshmallow-Dream-96303.html,women and men,sweet (100%); vanilla (81.8518%); lactonic (63.7036%); powdery (50.7408%),"Marshmallow Dream by The Dua Brand is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Marshmallow Dream was launched in 2024.Marshmallow Dream captures the essence of cozy indulgence with its comforting blend of Steamed White Milk, Sugar, and Marshmallow. The fragrance evokes nostalgic bliss, enhanced by a touch of Vanilla and a subtle note of Whipped Cream. This gourmand scent invites you to revel in the simple pleasures of life, offering a comforting embrace that transcends time.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Whipped Cream', 'Marshmallow', 'Vanilla', 'Sugar', 'Milk']",[],[],,
Caramel Delight,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Caramel-Delight-65942.html,women and men,citrus (100%); vanilla (71.0344%); caramel (61.3793%); sweet (58.7241%); fresh spicy (57.0345%); powdery (54.6207%); musky (46.8964%); cinnamon (44.483%); white floral (44.483%),"Caramel Delight by The Dua Brand is a Aromatic fragrance for women and men. Caramel Delight was launched in 2018.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Vanilla', 'Bergamot', 'Blood Orange', 'Caramel', 'Musk', 'Jasmine', 'Cinnamon', 'Licorice', 'Lavender']",[],[],,
Hey Sweetie!,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Hey-Sweetie-74229.html,women,citrus (100%); sweet (97.0096%); musky (71.592%); fruity (68.6017%); white floral (63.9806%); powdery (56.3689%); floral (48.0776%),"Hey Sweetie! by The Dua Brand is a Floral Fruity fragrance for women. This is a new fragrance. Hey Sweetie! was launched in 2022.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Orange Blossom', 'Marshmallow', 'Raspberry', 'Mandarin Orange', 'Musk', 'Ambrette (Musk Mallow)', 'Whipped Cream', 'Grapefruit', 'Bergamot', 'Black Currant']",[],[],,
Casino Royale Cotton Candy Nights,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Casino-Royale-Cotton-Candy-Nights-68778.html,women and men,sweet (100%); amber (84.0773%); caramel (62.4462%); warm spicy (60.6439%); almond (60.043%); powdery (57.3391%); white floral (57.0384%); musky (57.0384%); vanilla (54.0343%); balsamic (53.7341%),"Casino Royale Cotton Candy Nights by The Dua Brand is a Oriental Vanilla fragrance for women and men. Casino Royale Cotton Candy Nights was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Saffron', 'Cotton Candy', 'Bitter Almond', 'Resins', 'Egyptian Jasmine', 'Ambergris', 'White Musk', 'Vanilla', 'Spun Sugar', 'Cedar']",[],[],,
Caramelized Pineapple Dream,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Caramelized-Pineapple-Dream-93400.html,women and men,sweet (100%); vanilla (72.1575%); fruity (66.4944%); powdery (55.7977%); coconut (55.1685%); tropical (51.7078%); musky (48.8766%); caramel (45.7302%); lactonic (45.7302%),"Caramelized Pineapple Dream by The Dua Brand is a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance. Caramelized Pineapple Dream was launched in 2024.Caramelized Pineapple Dream by The Dua Brand is a gourmand fruity fragrance for unisex. Released in 2024, this perfume features sweet notes of caramel, pineapple, and coconut as initial impressions. The scent is enriched with vanilla, raspberry, almond praline, and tonka bean, while musk and heliotrope provide depth and support to the fragrance.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Pineapple', 'Coconut', 'Musk', 'Tonka Bean', 'Heliotrope', 'Caramel', 'Vanilla', 'Praline', 'Raspberry', 'Almond']",[],[],,
Vanillac Dreams,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Vanillac-Dreams-86677.html,women and men,vanilla (100%); powdery (62.6667%); musky (53.3333%); sweet (46.3333%),"Vanillac Dreams by The Dua Brand is a Oriental Vanilla fragrance for women and men. Vanillac Dreams was launched in 2022.Vanillac Dreams by The Dua Brand is an Extrait de Parfum with a concentration of 30 ML (1 FL.OZ). This fragrance is a stunning recreation of the highly acclaimed Tihota perfume by Indult, originally released in 2006. Crafted by renowned perfumer Francis Kurkdjian, Vanillac Dreams captures the natural qualities, performance, and craftsmanship of its inspiration. It is a beguilingly simple composition that features only two ingredients: vanilla and musk. While seemingly straightforward, the multi-faceted nature of the vanilla gives this fragrance a unique flavor. With its accurate recreation and exceptional quality, Vanillac Dreams is sure to delight both men and women alike.Notes: Vanilla and Musk.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Vanilla', 'Musk']",[],[],,
Café de Dua,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Cafe-de-Dua-76325.html,women and men,warm spicy (100%); vanilla (91.7649%); sweet (91.7649%); cacao (91.7649%); coffee (84.9021%); powdery (50.5884%); caramel (50.5884%); amber (44.0685%),"Café de Dua by The Dua Brand is a Oriental Vanilla fragrance for women and men. Café de Dua was launched in 2021.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Cacao', 'Madagascar Vanilla', 'Vanilla Bean', 'Columbian Coffee', 'Caramel', 'Biscuit', 'Cupcake', 'Almond', 'Amber', 'Lemon', 'Maple sap']",[],[],,
Holiday Vanilla Delight,The Dua Brand,https://www.fragrantica.com/perfume/The-Dua-Brand/Holiday-Vanilla-Delight-93401.html,women and men,vanilla (100%); sweet (75.9702%); powdery (54.0298%); amber (50.8955%); warm spicy (50.8955%); chocolate (46.7163%); balsamic (44.627%),"Holiday Vanilla Delight by The Dua Brand is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Holiday Vanilla Delight was launched in 2024.Holiday Vanilla Delight will delight your senses with starting notes of vanilla and sweet butter cream. Creamy caramel plays its part to give you a calm and relaxed feel during your self-care time. Benzoin infuses the fragrance with its spicy and resinous nature making it an intense and deep fragrance. The flirtatious chocolate note pairs up with soft musk providing a soothing and enveloping quality. Sugar cookie is the twist that takes your senses to a whole new level of olfactory heights with its sweet and delicious aroma.Read about this perfume in other languages: Deutsch, Español, Français, Čeština, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",,"['Vanilla', 'Chocolate', 'Benzoin', 'Butter', 'Cookie', 'Caramel', 'Musk', 'Sugar']",[],[],,
